cutoff,cutoff_display,manuscript_label,model_variant,selection_mode,source_mode,best_epsilon_label,best_epsilon_value,best_c_factor,selected_run_name,resolved_run_dir,quantile_csv,expected_mean_crps,resolved_mean_crps,crps_abs_diff,horizon_days,provenance_path,provenance_source_run,provenance_selected_source_run,provenance_reuse_source_run_id,provenance_reused,provenance_source_type,provenance_selected_epsilon,provenance_selected_c_factor
20210123,01/23/2021,AL-M-T1,dqlm_multivar_al_keep,he2-publication-manifest,he2-publication-manifest,,,,multimodel_20210123_v8_he2grid_c04_eps365_dqlm_multivar_al_keep,/data/muscat_data/jaguir26/project1_ucsc_phd_runtime/multimodel_v8_he2_dqlm_multivar_al_keep_from_exal_winners_20260602/runs/multimodel_20210123_v8_he2grid_c04_eps365_dqlm_multivar_al_keep,/data/muscat_data/jaguir26/project1_ucsc_phd_runtime/multimodel_v8_he2_dqlm_multivar_al_keep_from_exal_winners_20260602/runs/multimodel_20210123_v8_he2grid_c04_eps365_dqlm_multivar_al_keep/post/outputs/multimodel_20210123_v8_he2grid_c04_eps365_dqlm_multivar_al_keep/dqlm_multivar_al_synth_keep_cutoff_window_quantiles.csv,0.1459187438242358,0.1459187438242358,0.0,28,/data/muscat_data/jaguir26/project1_ucsc_phd/Evironmetrics---REVISED-DOC-Corrected-2/artifacts/he2_publication_freeze/he2_bayesian_publication_manifest.csv,multimodel_20210123_v8_he2grid_c04_eps365_dqlm_multivar_al_keep,multimodel_20210123_v8_he2grid_c04_eps365_dqlm_multivar_al_keep,,False,he2-publication-manifest,,
20210123,01/23/2021,AL-U-T1,dqlm_univar_al,he2-publication-manifest,he2-publication-manifest,,,,multimodel_20210123_v8_he2pubgdpc1r1_dqlm_univar_al,/data/muscat_data/jaguir26/project1_ucsc_phd_runtime/multimodel_v8_he2_univar_al_exal_scale_repair_20260629/runs/multimodel_20210123_v8_he2pubgdpc1r1_dqlm_univar_al,/data/muscat_data/jaguir26/project1_ucsc_phd_runtime/multimodel_v8_he2_univar_al_exal_scale_repair_20260629/runs/multimodel_20210123_v8_he2pubgdpc1r1_dqlm_univar_al/post/outputs/multimodel_20210123_v8_he2pubgdpc1r1_dqlm_univar_al/dqlm_univar_al_synth_cutoff_window_quantiles.csv,0.2310692658679936,0.2310692658679936,0.0,28,/data/muscat_data/jaguir26/project1_ucsc_phd/Evironmetrics---REVISED-DOC-Corrected-2/artifacts/he2_publication_freeze/he2_bayesian_publication_manifest.csv,multimodel_20210123_v8_he2pubgdpc1r1_dqlm_univar_al,multimodel_20210123_v8_he2pubgdpc1r1_dqlm_univar_al,,False,he2-publication-manifest,,
20210123,01/23/2021,exAL-M-T1,exdqlm_multivar_keep,he2-publication-manifest,he2-publication-manifest,,,,multimodel_20210123_v8_he2grid_c04_eps365_exdqlm_multivar_keep,/data/muscat_data/jaguir26/project1_ucsc_phd_runtime/multimodel_v8_he2_exdqlm_multivar_keep_epsilon_discount_grid_20260524/runs/multimodel_20210123_v8_he2grid_c04_eps365_exdqlm_multivar_keep,/data/muscat_data/jaguir26/project1_ucsc_phd_runtime/multimodel_v8_he2_exdqlm_multivar_keep_epsilon_discount_grid_20260524/runs/multimodel_20210123_v8_he2grid_c04_eps365_exdqlm_multivar_keep/post/outputs/multimodel_20210123_v8_he2grid_c04_eps365_exdqlm_multivar_keep/exdqlm_multivar_synth_keep_cutoff_window_quantiles.csv,0.1397088548478634,0.1397088548478634,0.0,28,/data/muscat_data/jaguir26/project1_ucsc_phd/Evironmetrics---REVISED-DOC-Corrected-2/artifacts/he2_publication_freeze/he2_bayesian_publication_manifest.csv,multimodel_20210123_v8_he2grid_c04_eps365_exdqlm_multivar_keep,multimodel_20210123_v8_he2grid_c04_eps365_exdqlm_multivar_keep,,False,he2-publication-manifest,,
20210123,01/23/2021,exAL-U-T1,exdqlm_univar,he2-publication-manifest,he2-publication-manifest,,,,multimodel_20210123_v8_he2pubgdpc1r1_exdqlm_univar,/data/muscat_data/jaguir26/project1_ucsc_phd_runtime/multimodel_v8_he2_univar_al_exal_scale_repair_20260629/runs/multimodel_20210123_v8_he2pubgdpc1r1_exdqlm_univar,/data/muscat_data/jaguir26/project1_ucsc_phd_runtime/multimodel_v8_he2_univar_al_exal_scale_repair_20260629/runs/multimodel_20210123_v8_he2pubgdpc1r1_exdqlm_univar/post/outputs/multimodel_20210123_v8_he2pubgdpc1r1_exdqlm_univar/exdqlm_univar_synth_cutoff_window_quantiles.csv,0.2162218779932584,0.2162218779932584,0.0,28,/data/muscat_data/jaguir26/project1_ucsc_phd/Evironmetrics---REVISED-DOC-Corrected-2/artifacts/he2_publication_freeze/he2_bayesian_publication_manifest.csv,multimodel_20210123_v8_he2pubgdpc1r1_exdqlm_univar,multimodel_20210123_v8_he2pubgdpc1r1_exdqlm_univar,,False,he2-publication-manifest,,
20211112,11/12/2021,AL-M-T1,dqlm_multivar_al_keep,he2-publication-manifest,he2-publication-manifest,,,,multimodel_20211112_v8_he2grid_c04_eps365_dqlm_multivar_al_keep,/data/muscat_data/jaguir26/project1_ucsc_phd_runtime/multimodel_v8_he2_dqlm_multivar_al_keep_from_exal_winners_20260602/runs/multimodel_20211112_v8_he2grid_c04_eps365_dqlm_multivar_al_keep,/data/muscat_data/jaguir26/project1_ucsc_phd_runtime/multimodel_v8_he2_dqlm_multivar_al_keep_from_exal_winners_20260602/runs/multimodel_20211112_v8_he2grid_c04_eps365_dqlm_multivar_al_keep/post/outputs/multimodel_20211112_v8_he2grid_c04_eps365_dqlm_multivar_al_keep/dqlm_multivar_al_synth_keep_cutoff_window_quantiles.csv,0.0555107748586326,0.0555107748586326,0.0,28,/data/muscat_data/jaguir26/project1_ucsc_phd/Evironmetrics---REVISED-DOC-Corrected-2/artifacts/he2_publication_freeze/he2_bayesian_publication_manifest.csv,multimodel_20211112_v8_he2grid_c04_eps365_dqlm_multivar_al_keep,multimodel_20211112_v8_he2grid_c04_eps365_dqlm_multivar_al_keep,,False,he2-publication-manifest,,
20211112,11/12/2021,AL-U-T1,dqlm_univar_al,he2-publication-manifest,he2-publication-manifest,,,,multimodel_20211112_v8_he2pubgdpc1r1_dqlm_univar_al,/data/muscat_data/jaguir26/project1_ucsc_phd_runtime/multimodel_v8_he2_univar_al_exal_scale_repair_20260629/runs/multimodel_20211112_v8_he2pubgdpc1r1_dqlm_univar_al,/data/muscat_data/jaguir26/project1_ucsc_phd_runtime/multimodel_v8_he2_univar_al_exal_scale_repair_20260629/runs/multimodel_20211112_v8_he2pubgdpc1r1_dqlm_univar_al/post/outputs/multimodel_20211112_v8_he2pubgdpc1r1_dqlm_univar_al/dqlm_univar_al_synth_cutoff_window_quantiles.csv,0.0779481946089521,0.077948194608952,9.71445146547012e-17,28,/data/muscat_data/jaguir26/project1_ucsc_phd/Evironmetrics---REVISED-DOC-Corrected-2/artifacts/he2_publication_freeze/he2_bayesian_publication_manifest.csv,multimodel_20211112_v8_he2pubgdpc1r1_dqlm_univar_al,multimodel_20211112_v8_he2pubgdpc1r1_dqlm_univar_al,,False,he2-publication-manifest,,
20211112,11/12/2021,exAL-M-T1,exdqlm_multivar_keep,he2-publication-manifest,he2-publication-manifest,,,,multimodel_20211112_v8_he2grid_c04_eps365_exdqlm_multivar_keep,/data/muscat_data/jaguir26/project1_ucsc_phd_runtime/multimodel_v8_he2_exdqlm_multivar_keep_epsilon_discount_grid_20260524/runs/multimodel_20211112_v8_he2grid_c04_eps365_exdqlm_multivar_keep,/data/muscat_data/jaguir26/project1_ucsc_phd_runtime/multimodel_v8_he2_exdqlm_multivar_keep_epsilon_discount_grid_20260524/runs/multimodel_20211112_v8_he2grid_c04_eps365_exdqlm_multivar_keep/post/outputs/multimodel_20211112_v8_he2grid_c04_eps365_exdqlm_multivar_keep/exdqlm_multivar_synth_keep_cutoff_window_quantiles.csv,0.0472363501409808,0.0472363501409808,0.0,28,/data/muscat_data/jaguir26/project1_ucsc_phd/Evironmetrics---REVISED-DOC-Corrected-2/artifacts/he2_publication_freeze/he2_bayesian_publication_manifest.csv,multimodel_20211112_v8_he2grid_c04_eps365_exdqlm_multivar_keep,multimodel_20211112_v8_he2grid_c04_eps365_exdqlm_multivar_keep,,False,he2-publication-manifest,,
20211112,11/12/2021,exAL-U-T1,exdqlm_univar,he2-publication-manifest,he2-publication-manifest,,,,multimodel_20211112_v8_he2pubgdpc1r1_exdqlm_univar,/data/muscat_data/jaguir26/project1_ucsc_phd_runtime/multimodel_v8_he2_univar_al_exal_scale_repair_20260629/runs/multimodel_20211112_v8_he2pubgdpc1r1_exdqlm_univar,/data/muscat_data/jaguir26/project1_ucsc_phd_runtime/multimodel_v8_he2_univar_al_exal_scale_repair_20260629/runs/multimodel_20211112_v8_he2pubgdpc1r1_exdqlm_univar/post/outputs/multimodel_20211112_v8_he2pubgdpc1r1_exdqlm_univar/exdqlm_univar_synth_cutoff_window_quantiles.csv,0.1019424799643815,0.1019424799643815,0.0,28,/data/muscat_data/jaguir26/project1_ucsc_phd/Evironmetrics---REVISED-DOC-Corrected-2/artifacts/he2_publication_freeze/he2_bayesian_publication_manifest.csv,multimodel_20211112_v8_he2pubgdpc1r1_exdqlm_univar,multimodel_20211112_v8_he2pubgdpc1r1_exdqlm_univar,,False,he2-publication-manifest,,
20211221,12/21/2021,AL-M-T1,dqlm_multivar_al_keep,he2-publication-manifest,he2-publication-manifest,,,,multimodel_20211221_v8_he2grid_c03_eps030_dqlm_multivar_al_keep,/data/muscat_data/jaguir26/project1_ucsc_phd_runtime/multimodel_v8_he2_dqlm_multivar_al_keep_from_exal_winners_20260602/runs/multimodel_20211221_v8_he2grid_c03_eps030_dqlm_multivar_al_keep,/data/muscat_data/jaguir26/project1_ucsc_phd_runtime/multimodel_v8_he2_dqlm_multivar_al_keep_from_exal_winners_20260602/runs/multimodel_20211221_v8_he2grid_c03_eps030_dqlm_multivar_al_keep/post/outputs/multimodel_20211221_v8_he2grid_c03_eps030_dqlm_multivar_al_keep/dqlm_multivar_al_synth_keep_cutoff_window_quantiles.csv,0.2777549891687288,0.2777549891687288,0.0,28,/data/muscat_data/jaguir26/project1_ucsc_phd/Evironmetrics---REVISED-DOC-Corrected-2/artifacts/he2_publication_freeze/he2_bayesian_publication_manifest.csv,multimodel_20211221_v8_he2grid_c03_eps030_dqlm_multivar_al_keep,multimodel_20211221_v8_he2grid_c03_eps030_dqlm_multivar_al_keep,,False,he2-publication-manifest,,
20211221,12/21/2021,AL-U-T1,dqlm_univar_al,he2-publication-manifest,he2-publication-manifest,,,,multimodel_20211221_v8_he2pubgdpc1r1_dqlm_univar_al,/data/muscat_data/jaguir26/project1_ucsc_phd_runtime/multimodel_v8_he2_univar_al_exal_scale_repair_20260629/runs/multimodel_20211221_v8_he2pubgdpc1r1_dqlm_univar_al,/data/muscat_data/jaguir26/project1_ucsc_phd_runtime/multimodel_v8_he2_univar_al_exal_scale_repair_20260629/runs/multimodel_20211221_v8_he2pubgdpc1r1_dqlm_univar_al/post/outputs/multimodel_20211221_v8_he2pubgdpc1r1_dqlm_univar_al/dqlm_univar_al_synth_cutoff_window_quantiles.csv,0.8704926330082864,0.8704926330082863,1.1102230246251565e-16,28,/data/muscat_data/jaguir26/project1_ucsc_phd/Evironmetrics---REVISED-DOC-Corrected-2/artifacts/he2_publication_freeze/he2_bayesian_publication_manifest.csv,multimodel_20211221_v8_he2pubgdpc1r1_dqlm_univar_al,multimodel_20211221_v8_he2pubgdpc1r1_dqlm_univar_al,,False,he2-publication-manifest,,
